name,features,cuisines,meals,special meals,official_description,rating,street,country,region,coords,image
barca dos corvos,"Reservations, ","European, Portuguese, ","Breakfast, Lunch, Dinner, ",,,2.0,Campo das Cebolas 15,Portugal,Central Portugal,"{'latitude': '38.70907', 'longitude': '-9.13123'}",
Arco Da Velha,"Reservations, Seating, Serves Alcohol, Table Service, ","Mediterranean, European, Portuguese, ","Lunch, Dinner, Brunch, ","Vegetarian Friendly, Gluten Free Options, ",,4.5,Rua de Sao Paulo 184 186,Portugal,Central Portugal,"{'latitude': '38.7082', 'longitude': '-9.145954'}",https://media-cdn.tripadvisor.com/media/photo-o/07/ab/fc/ba/arco-da-velha.jpg
O Cardo,"Reservations, Outdoor Seating, Seating, Television, Serves Alcohol, Table Service, ","Seafood, Mediterranean, European, Portuguese, ","Lunch, Dinner, Late Night, ",,,3.5,Avenida Fontes Pereira de Melo 3 C,Portugal,Central Portugal,"{'latitude': '38.727673', 'longitude': '-9.148614'}",https://media-cdn.tripadvisor.com/media/photo-o/12/01/b0/e6/img-20171130-190941-largejpg.jpg
O Tabuas,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Table Service, ","Portuguese, ","Lunch, Dinner, ","Gluten Free Options, ",,3.5,Rua Barros Queiros 45-51 Rossio,Portugal,Central Portugal,"{'latitude': '38.71497', 'longitude': '-9.13863'}",https://media-cdn.tripadvisor.com/media/photo-o/1a/ca/dd/bb/o-tabuas.jpg
Burrata - Pizzaria Artesanal,"Reservations, ","Pizza, ","Lunch, Dinner, ",,,4.0,Estrada de Benfica 591B Perto da Av. do Uruguai,Portugal,Central Portugal,"{'latitude': '38.750637', 'longitude': '-9.198171'}",https://media-cdn.tripadvisor.com/media/photo-o/13/12/1c/66/photo0jpg.jpg
Sala,,,"Dinner, ","Vegetarian Friendly, ",,5.0,Regueirao dos Anjos 62,Portugal,Central Portugal,"{'latitude': '38.72507', 'longitude': '-9.13583'}",https://media-cdn.tripadvisor.com/media/photo-o/0f/cb/60/fa/img-20170706-wa0004-largejpg.jpg
Pastanaga,"Reservations, Seating, Table Service, ","European, Portuguese, ","Lunch, Dinner, ","Vegetarian Friendly, ",,5.0,Travessa dos Pescadores 27,Portugal,Central Portugal,"{'latitude': '38.709', 'longitude': '-9.152651'}",https://media-cdn.tripadvisor.com/media/photo-o/13/06/78/4a/wines-selection.jpg
Acores na Feira,"Reservations, Outdoor Seating, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Table Service, Highchairs Available, Free Wifi, ","Mediterranean, European, Portuguese, ","Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks, ","Vegetarian Friendly, Vegan Options, Gluten Free Options, ",,4.5,Campo de Santa Clara 140,Portugal,Central Portugal,"{'latitude': '38.71589', 'longitude': '-9.125176'}",https://media-cdn.tripadvisor.com/media/photo-o/11/cf/32/cf/acores-na-feira.jpg
Saldanha Mar,"Reservations, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Seating, Accepts Credit Cards, Table Service, ","Mediterranean, European, Portuguese, ","Breakfast, Lunch, Dinner, ","Vegetarian Friendly, ","Priding itself for being one of Lisbon's leading restaurants. Saldanha Mar is a restaurant space with character, plenty of natural light and a modern decor where you will be able to taste the best of Portuguese and Mediterranean gastronomy. At lunchtime the menu features fresh fish, captured in the open seas, charcoal-grilled and sided by fresh produce, daily selected with care at the 31 de Janeiro Market, close to the hotel. In the evening the cozy ambiance is lit by candlelight and features Mediterranean fare, where the influence of Chef Paula Carcao is felt on every dish.",4.0,Rua Engenheiro Vieira da Silva 2,Portugal,Central Portugal,"{'latitude': '38.731335', 'longitude': '-9.144102'}",https://media-cdn.tripadvisor.com/media/photo-o/07/16/f2/2a/saldanha-mar.jpg
Joao do Grao,"Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, ","Seafood, European, Portuguese, ","Lunch, Dinner, Late Night, ",,,3.5,Rua dos Correeiros 222,Portugal,Central Portugal,"{'latitude': '38.712994', 'longitude': '-9.138119'}",https://media-cdn.tripadvisor.com/media/photo-o/0e/3c/d7/40/photo6jpg.jpg
